,review,true_strong,true_weak,true_other_strong,true_other_weak,true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_other_strong_alt,abs_other_weak_alt,abs_true_strong_weak_alt,instruction,label,formatted_output
66,"I initially heard about The Beauty Parlour from friends. Every time they went to this salon they'd come back with gorgeous haircuts & colours. After one particularly bad haircut, I decided to try out the Parlour.
According to their website, The BP believes in beauty with a conscience. They offer ammonia-free colour services with little or no scent properties or chemical emanation. They also stock Kevin Murphy products, of which I am a fan. 
Anyways, after walking up the stairs to their 2nd floor location (note:no elevators) I immediately feel comfortable in their spacious, tranquil salon. I feel relaxed here, and I enjoy the vintage-y ambiance created by their reclaimed furnishings and wood flooring. It's also got high windows with views of Whyte Ave.
The friendly receptionist usually offers wine (!), coffee, green tea, or juice. While waiting for my stylist Alysha, I check out their mini-boutique. Clothing from local designer Cinder+Smoke and jewelry from local artist Plum Tipsy are among the fun products they stock.
I always get my hair done by Alysha. She listens as I attempt to describe what i want, and my hair turns out gorgeous every time. She cuts with precision and doesn't use the razor much to texture my coarse,thick hair.
I highly recommend Alysha!
Because I have short hair, I am charged for a men's cut ($60), so it's very reasonable, in my opinion, for an exceptional salon. Also, you get 5% off if you pay with cash!
I love this place, it's a high quality salon experience without pretention.","their mini-boutique, Clothing, local designer Cinder+Smoke, jewelry, local artist Plum Tipsy",,,,"their mini-boutique, Clothing, local designer Cinder+Smoke, jewelry, local artist Plum Tipsy",The salon has a mini-boutique. Clothing from local designer Cinder+Smoke and jewelry from local artist Plum Tipsy are among the products they stock.,,,,The salon has a mini-boutique. Clothing from local designer Cinder+Smoke and jewelry from local artist Plum Tipsy are among the products they stock.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","their mini-boutique, Clothing, local designer Cinder+Smoke, jewelry, local artist Plum Tipsy","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I initially heard about The Beauty Parlour from friends. Every time they went to this salon they'd come back with gorgeous haircuts & colours. After one particularly bad haircut, I decided to try out the Parlour.
According to their website, The BP believes in beauty with a conscience. They offer ammonia-free colour services with little or no scent properties or chemical emanation. They also stock Kevin Murphy products, of which I am a fan. 
Anyways, after walking up the stairs to their 2nd floor location (note:no elevators) I immediately feel comfortable in their spacious, tranquil salon. I feel relaxed here, and I enjoy the vintage-y ambiance created by their reclaimed furnishings and wood flooring. It's also got high windows with views of Whyte Ave.
The friendly receptionist usually offers wine (!), coffee, green tea, or juice. While waiting for my stylist Alysha, I check out their mini-boutique. Clothing from local designer Cinder+Smoke and jewelry from local artist Plum Tipsy are among the fun products they stock.
I always get my hair done by Alysha. She listens as I attempt to describe what i want, and my hair turns out gorgeous every time. She cuts with precision and doesn't use the razor much to texture my coarse,thick hair.
I highly recommend Alysha!
Because I have short hair, I am charged for a men's cut ($60), so it's very reasonable, in my opinion, for an exceptional salon. Also, you get 5% off if you pay with cash!
I love this place, it's a high quality salon experience without pretention."
67,"Is there any way that I can give a sixth or even seventh star to this place? Perhaps I'll contact the Yelp! corporate offices in San Francisco to inquire about expanding the star system using Lou and All About Hair as the Exhibit A. I've been on a three year odyssey, which has included some of the worst haircuts and barbers this side of, well, anything, to find a place like All About Hair. It is simply fantastic. I was here early on a Friday morning and aside from doing an incredible to the follicles that rest atop my head, Lou provided fantastic conversation and an environment that was more than inviting. I haven't written a Yelp! review in a very long time, but after my experience at All About Hair, I felt compelled to fire off a five star review about this gem of a place. Needless to say, I've found my barber of choice and they've made a long-term customer out of me.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Is there any way that I can give a sixth or even seventh star to this place? Perhaps I'll contact the Yelp! corporate offices in San Francisco to inquire about expanding the star system using Lou and All About Hair as the Exhibit A. I've been on a three year odyssey, which has included some of the worst haircuts and barbers this side of, well, anything, to find a place like All About Hair. It is simply fantastic. I was here early on a Friday morning and aside from doing an incredible to the follicles that rest atop my head, Lou provided fantastic conversation and an environment that was more than inviting. I haven't written a Yelp! review in a very long time, but after my experience at All About Hair, I felt compelled to fire off a five star review about this gem of a place. Needless to say, I've found my barber of choice and they've made a long-term customer out of me."
68,"So I recently went to Revelations for a hair cut and my regular stylist wasn't there so I decided to see Lindsey Winner. What a mistake!
Never again! 
She dry cut my hair and was done in 10 minutes!
I came home and it's uneven and I still have tons of split ends.
I've never had a stylist dry cut my hair, ever. And I've never been done in such a short amount of time.
I love the salon but not her so my review for HER is one star.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: So I recently went to Revelations for a hair cut and my regular stylist wasn't there so I decided to see Lindsey Winner. What a mistake!
Never again! 
She dry cut my hair and was done in 10 minutes!
I came home and it's uneven and I still have tons of split ends.
I've never had a stylist dry cut my hair, ever. And I've never been done in such a short amount of time.
I love the salon but not her so my review for HER is one star."
69,"Let me preface by saying that I have been getting my hair cut by a guy in Austin for seven years, even though I've lived in other cities for half that time. He is that good. The couple of times that I've strayed, I have been severely disappointed in the outcome. But I wasn't planning a trip back to Austin for a while and badly needed a cut, so I decided to bite the bullet.

My friend walks in a few weeks ago with *srsly* the cutest short hair cut. And so I ask her who and where, and she says Rodney Mitchell. I figured that this place would be too expensive, but she corrected my thinking on the matter. So I called to make an appointment with her guy (whose name I sadly cannot remember at the moment) and Rodney answered the phone. Turns out the guy my friend had seen didn't do morning appointments and all my afternoons were filled, so Rodney said ""look, I'm the owner, I can absolutely vouch for Allison who has several openings in the next few days."" So I thought, alright, he's the owner so he knows his stuff--I'll do it.

Allison absolutely did not disappoint. First off, she's a total sweetheart, but not super chatty (I appreciate stylists who can be content to both hold and not hold a convo while working) so there was no pressure there. I came in with my laptop and several photos I'd found that approximated what I wanted in a haircut, as I couldn't find exactly the right one. We talked about it a bit, discussed front and back length, bangs, etc. and she said alright and went to it. What she gave me was the cutest damn shaggy bob that I never thought possible. I seriously can't wait to go back.

One of the other awesome things about RMS is that they give you a discount for your first visit and I believe they have some kind of discount for students and teachers. They also will give you *another* discount when you refer people. So I got my friend a discount, and then referred a friend, so I'll get another discount when I go back for my next cut. All good things when you're trying your best to be a frugal grad student.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Let me preface by saying that I have been getting my hair cut by a guy in Austin for seven years, even though I've lived in other cities for half that time. He is that good. The couple of times that I've strayed, I have been severely disappointed in the outcome. But I wasn't planning a trip back to Austin for a while and badly needed a cut, so I decided to bite the bullet.

My friend walks in a few weeks ago with *srsly* the cutest short hair cut. And so I ask her who and where, and she says Rodney Mitchell. I figured that this place would be too expensive, but she corrected my thinking on the matter. So I called to make an appointment with her guy (whose name I sadly cannot remember at the moment) and Rodney answered the phone. Turns out the guy my friend had seen didn't do morning appointments and all my afternoons were filled, so Rodney said ""look, I'm the owner, I can absolutely vouch for Allison who has several openings in the next few days."" So I thought, alright, he's the owner so he knows his stuff--I'll do it.

Allison absolutely did not disappoint. First off, she's a total sweetheart, but not super chatty (I appreciate stylists who can be content to both hold and not hold a convo while working) so there was no pressure there. I came in with my laptop and several photos I'd found that approximated what I wanted in a haircut, as I couldn't find exactly the right one. We talked about it a bit, discussed front and back length, bangs, etc. and she said alright and went to it. What she gave me was the cutest damn shaggy bob that I never thought possible. I seriously can't wait to go back.

One of the other awesome things about RMS is that they give you a discount for your first visit and I believe they have some kind of discount for students and teachers. They also will give you *another* discount when you refer people. So I got my friend a discount, and then referred a friend, so I'll get another discount when I go back for my next cut. All good things when you're trying your best to be a frugal grad student."
70,"I do NOT have curly hair but I've use this salon several times.  Andrea has been my stylist for every appointment.

Each time was excellent.  She is professional and fun.  The entire shop is very welcoming and there is a little cafe on the corner that you can go grab a bite to eat while you are processing.  

Great experience, would recomend for both cut and color.",little café,,,,little café,The salon has a little café on a corner.,,,,The salon has a little café on a corner.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",little café,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I do NOT have curly hair but I've use this salon several times.  Andrea has been my stylist for every appointment.

Each time was excellent.  She is professional and fun.  The entire shop is very welcoming and there is a little cafe on the corner that you can go grab a bite to eat while you are processing.  

Great experience, would recomend for both cut and color."
71,"At last someone who understood my hair journey. Recovering from years of bleach and needed extra TLC with keratin and a cut to create the illusion of more length around my face with Patrick took care of effortlessly accentuating my features. Loved the chats with both him and Uli and I scored a delicious cigar for my husband. I love the feel of the southern porch, I watched fireflies while waiting for my appointment time and have found a home for my hair! grateful.",fireflies,,,,fireflies,"From the southern porch of the salon, a customer watched fireflies while waiting for the appointment time.",,,,"From the southern porch of the salon, a customer watched fireflies while waiting for the appointment time.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",fireflies,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: At last someone who understood my hair journey. Recovering from years of bleach and needed extra TLC with keratin and a cut to create the illusion of more length around my face with Patrick took care of effortlessly accentuating my features. Loved the chats with both him and Uli and I scored a delicious cigar for my husband. I love the feel of the southern porch, I watched fireflies while waiting for my appointment time and have found a home for my hair! grateful."
72,"I've tried a few other local places and just couldn't find the right balance of style and price. A couple places cut my hair how they wanted, not how I wanted.

Well I'm glad that I don't have to keep looking because I finally found a place that I'll go back to. I think this was the first time in a long time that a hair stylist actually kept my appointment time and I didn't have to wait an extra half hour. I really enjoyed chatting with Susan while she cut my hair and got quite a few hole in the wall restaurants I need to try! When she was done, my hair looked exactly like I had hoped. 

The shop is really cool as others have mentioned. Fun decor, fun music, nice open layout and friendly staff. Walk ins are welcome, but I'd recommend making an appointment. You won't be disappointed.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I've tried a few other local places and just couldn't find the right balance of style and price. A couple places cut my hair how they wanted, not how I wanted.

Well I'm glad that I don't have to keep looking because I finally found a place that I'll go back to. I think this was the first time in a long time that a hair stylist actually kept my appointment time and I didn't have to wait an extra half hour. I really enjoyed chatting with Susan while she cut my hair and got quite a few hole in the wall restaurants I need to try! When she was done, my hair looked exactly like I had hoped. 

The shop is really cool as others have mentioned. Fun decor, fun music, nice open layout and friendly staff. Walk ins are welcome, but I'd recommend making an appointment. You won't be disappointed."
73,"I've been coming to this salon for a long time. The staff is very friendly and the building is nicely decorated. Katie Chavez has been doing my hair for the last 13 years. I have followed her to a couple new salons, but I'm so happy she decided to make her home here. The place is clean and modern. I believe they offer exercise classes, but I've never attended on. If I could give this salon 6 stars, I would!",exercise classes,,,,exercise classes,The salon offers exercise classes.,,,,The salon offers exercise classes.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",exercise classes,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I've been coming to this salon for a long time. The staff is very friendly and the building is nicely decorated. Katie Chavez has been doing my hair for the last 13 years. I have followed her to a couple new salons, but I'm so happy she decided to make her home here. The place is clean and modern. I believe they offer exercise classes, but I've never attended on. If I could give this salon 6 stars, I would!"
74,"Heather is an extraordinary colorist and cut master. She is so intuitive with her clients, and listens to my needs. Her playful spirit shows through in her work, and you won't leave her chair without a huge smile on your face, and of course with gorgeous hair! Her prices and expertise cannot be beat!!! I love Heather!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Heather is an extraordinary colorist and cut master. She is so intuitive with her clients, and listens to my needs. Her playful spirit shows through in her work, and you won't leave her chair without a huge smile on your face, and of course with gorgeous hair! Her prices and expertise cannot be beat!!! I love Heather!"
75,"Aynie has been the only stylist I have ever been loyal to my entire life. She is not afraid to tell you her opinion or your style or how a certain cut would work with your hair. 

Blue Wren is a studio in Indianapolis like none other. Not only do they offer traditional salon services, but they take it a step beyond by offering a certified massage therapist (that is also certified in prenatal massage), yoga on Monday nights, and photography services by the talented Jammy Straub. You can get so much under one roof!","certified massage therapist, prenatal massage, yoga, photography services",,,,"certified massage therapist, prenatal massage, yoga, photography services","The salon offers a certified massage therapist (that is also certified in prenatal massage), yoga on Monday nights, and photography services.",,,,"The salon offers a certified massage therapist (that is also certified in prenatal massage), yoga on Monday nights, and photography services.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","certified massage therapist, prenatal massage, yoga, photography services","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Aynie has been the only stylist I have ever been loyal to my entire life. She is not afraid to tell you her opinion or your style or how a certain cut would work with your hair. 

Blue Wren is a studio in Indianapolis like none other. Not only do they offer traditional salon services, but they take it a step beyond by offering a certified massage therapist (that is also certified in prenatal massage), yoga on Monday nights, and photography services by the talented Jammy Straub. You can get so much under one roof!"
76,"This salon is exceptionally run in so many ways.

First off, every client receives a 5 minute scalp massage and treatment every time they come in for a service. This service is to die for and something that keeps me coming back time and time again. On some occasions I have even received a hand massage while I wait for my colour to set. Wow.

Second, this salon actively and passionately cares about our environment. Sylvia's product line, Aveda, is derived from 100% natural ingredients. Not only that but they are one of the only salons I know of who recycles & repurposes hair, foils, colour-tubes, papers and plastics AND diverts excess hair chemicals from being rinsed down the drain through a program called green circles.

Third, the staff members are always so pleasant and speak so highly of one another. The support among the women is real and it is so refreshing to hear and feel it. Not only that but each one of them has a portfolio available on Pinterest and Instagram where you can go browse each stylists look book. This gives you a great glimpse into which stylist would most suit your style. I for one love this.

Fourth, the owner of the salon actively invests in her employees education. Each stylist receives continuous support and training from day one so that they are always working on and building upon their craft.

Fifth, the atmosphere is warm, welcoming and smells divine. The music is soft and enjoyable, the tea is soothing and I always feel so beautiful when I walk out that door.

You couldn't' persuade me to go anywhere else.",had massage,,,,had massage,"On some occasions, a customer received a hand massage.",,,,"On some occasions, a customer received a hand massage.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",had massage,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: This salon is exceptionally run in so many ways.

First off, every client receives a 5 minute scalp massage and treatment every time they come in for a service. This service is to die for and something that keeps me coming back time and time again. On some occasions I have even received a hand massage while I wait for my colour to set. Wow.

Second, this salon actively and passionately cares about our environment. Sylvia's product line, Aveda, is derived from 100% natural ingredients. Not only that but they are one of the only salons I know of who recycles & repurposes hair, foils, colour-tubes, papers and plastics AND diverts excess hair chemicals from being rinsed down the drain through a program called green circles.

Third, the staff members are always so pleasant and speak so highly of one another. The support among the women is real and it is so refreshing to hear and feel it. Not only that but each one of them has a portfolio available on Pinterest and Instagram where you can go browse each stylists look book. This gives you a great glimpse into which stylist would most suit your style. I for one love this.

Fourth, the owner of the salon actively invests in her employees education. Each stylist receives continuous support and training from day one so that they are always working on and building upon their craft.

Fifth, the atmosphere is warm, welcoming and smells divine. The music is soft and enjoyable, the tea is soothing and I always feel so beautiful when I walk out that door.

You couldn't' persuade me to go anywhere else."
77,"J's Studio saved my ass seriously. I was looking busted and I was in town for Max's Holiday at Sea Party. When I caught a look in the mirror I realized I could not pull off my current hair situation. When I opened up Yelp, I was shocked to see so many salons and barbershops closed around 5pm on a Saturday.

J's is opened until 8pm and they were able to take me in as a walk-in. This studio is bilingual as their team speaks Spanish and English. Honestly the music here was great and I loved that this shop played English and Spanish songs.

My barber did an amazing fade and although his method of cutting is a little unconventional the results were 100%. I loved my haircut and got a lot of compliments on it. 

Totally recommend y'all getting your next cut here and for the price you can't beat it!

They accept credit/debit cards here just know there's a small transaction fee which was not bad at all.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: J's Studio saved my ass seriously. I was looking busted and I was in town for Max's Holiday at Sea Party. When I caught a look in the mirror I realized I could not pull off my current hair situation. When I opened up Yelp, I was shocked to see so many salons and barbershops closed around 5pm on a Saturday.

J's is opened until 8pm and they were able to take me in as a walk-in. This studio is bilingual as their team speaks Spanish and English. Honestly the music here was great and I loved that this shop played English and Spanish songs.

My barber did an amazing fade and although his method of cutting is a little unconventional the results were 100%. I loved my haircut and got a lot of compliments on it. 

Totally recommend y'all getting your next cut here and for the price you can't beat it!

They accept credit/debit cards here just know there's a small transaction fee which was not bad at all."
78,Great place. Ask for Shannon. You won't be disappointed. Great cut and sweet girl. The price is good and they allow you to donate a buck or two to charity which I appreciated.,charity,,,,charity,The salon allows you to donate a buck or two to charity.,,,,The salon allows you to donate a buck or two to charity.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",charity,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Great place. Ask for Shannon. You won't be disappointed. Great cut and sweet girl. The price is good and they allow you to donate a buck or two to charity which I appreciated."
79,"I needed a reward for choosing (stupidly) to grow my hair out during a Tucson summer. My answer? A hair cut that costs more than $12 (with tip).

I arrived about 20 minutes before my appointment and was quickly attended to (by the owner) without even having to sit down. I sat in the stylist's chair, and we discussed the cut and style I was hoping for.
She then sent me down to have my hair washed, which was a perfectly pleasant experience. Certainly a more thorough one than I usually undertake. Once complete, I headed back to the stylist.

She confirmed our plan and assured me that she had a great plan. During the cut, she was nice (not too talkative), funny, inquisitive, and calm. She answered all the questions I had about how best to care for the cut and offered suggestions on how to ensure that I got the most out of  it. I could not be happier with how the cut and style turned out - no matter how the rest of me looks, I know my hair is kickin'.

In the end, the price was well more than advertised, but not so much that I would balk at it for the value.

I look forward to going back to Spirit again whenever I need my next relief from the heat that my hair brings to my head.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I needed a reward for choosing (stupidly) to grow my hair out during a Tucson summer. My answer? A hair cut that costs more than $12 (with tip).

I arrived about 20 minutes before my appointment and was quickly attended to (by the owner) without even having to sit down. I sat in the stylist's chair, and we discussed the cut and style I was hoping for.
She then sent me down to have my hair washed, which was a perfectly pleasant experience. Certainly a more thorough one than I usually undertake. Once complete, I headed back to the stylist.

She confirmed our plan and assured me that she had a great plan. During the cut, she was nice (not too talkative), funny, inquisitive, and calm. She answered all the questions I had about how best to care for the cut and offered suggestions on how to ensure that I got the most out of  it. I could not be happier with how the cut and style turned out - no matter how the rest of me looks, I know my hair is kickin'.

In the end, the price was well more than advertised, but not so much that I would balk at it for the value.

I look forward to going back to Spirit again whenever I need my next relief from the heat that my hair brings to my head."
80,"Ok, so I gave Icon another try. I was walking through Commerce Place when I passed a mirror and remembered I was desperately in need of a haircut. I decided to give them a try again - and I'm glad I did. A woman named Jayme cut my hair and I honestly haven't had such a hip, modern cut in long time. This time the service was exceptional, and I have to say that the salon has improved by leaps and bounds. I learned it's under new management. The studio has adopted a more boutique-style environment, with artwork on the walls and they even have a tattoo studio attached. The place was quiet, as it was in the middle of the afternoon during the week, but I wouldn't be surprised if weekends are packed. I was really impressed with Jayme's friendly service and she even gave me tips for styling my hair, without pushing product on me - a pet peeve of mine at salons. I will definitely go back for a haircut, and may even try a colour there next time. Keep up the good work, Icon.",tattoo studio,"boutique-style environment, artwork",,,"boutique-style environment, artwork, tattoo studio",The salon has a tattoo studio attached.,"The salon has adopted a more boutique-style environment, with artwork on the walls.",,,"The studio has adopted a more boutique-style environment, with artwork on the walls and they even have a tattoo studio attached.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",tattoo studio,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Ok, so I gave Icon another try. I was walking through Commerce Place when I passed a mirror and remembered I was desperately in need of a haircut. I decided to give them a try again - and I'm glad I did. A woman named Jayme cut my hair and I honestly haven't had such a hip, modern cut in long time. This time the service was exceptional, and I have to say that the salon has improved by leaps and bounds. I learned it's under new management. The studio has adopted a more boutique-style environment, with artwork on the walls and they even have a tattoo studio attached. The place was quiet, as it was in the middle of the afternoon during the week, but I wouldn't be surprised if weekends are packed. I was really impressed with Jayme's friendly service and she even gave me tips for styling my hair, without pushing product on me - a pet peeve of mine at salons. I will definitely go back for a haircut, and may even try a colour there next time. Keep up the good work, Icon."
81,"I don't know what to say about Joseph Anthony. I feel genuinely torn. On one hand I felt as if the staff went to great lengths to make you feel like you were in a spa: they have free water, wine, coffee, and warm cookies; they spend a lot of time massaging your scalp while you get your hair cut, they offer free hand massages, and their towels are warm. On paper, it sounds great.

My problem is that I felt like I was in a factory that was trying to churn out the most cuts and colors possible. They were booked solid and you could tell that the staff was stressed out because everyone was basically running around trying to get things accomplished. No matter how relaxing they try to make it for the customers, it's just too many people in a small space all trying to get a task completed quickly. Their prices also aren't very competitive (I paid $40.00 for a simple hair trim where I would pay $25-$30 for the same service in the city).

I know they offer a lot of other services, so those experiences may be very different from what you get in the hair salon. I doubt I'll go back to find out for myself. I just feel as though the higher prices could only be justified if the ambiance and overall experience were something pleasurable, and I simply didn't think that the feel of the place was that great.

Beware that tips must be paid in cash - you can't tip on a credit card (that's also another strike against this joint).","free hand massages, other services",,,,"free hand massages, other services",The salon offers free hand massages. They offer a lot of other services.,,,,The salon offers free hand massages. They offer a lot of other services.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","free hand massages, other services","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I don't know what to say about Joseph Anthony. I feel genuinely torn. On one hand I felt as if the staff went to great lengths to make you feel like you were in a spa: they have free water, wine, coffee, and warm cookies; they spend a lot of time massaging your scalp while you get your hair cut, they offer free hand massages, and their towels are warm. On paper, it sounds great.

My problem is that I felt like I was in a factory that was trying to churn out the most cuts and colors possible. They were booked solid and you could tell that the staff was stressed out because everyone was basically running around trying to get things accomplished. No matter how relaxing they try to make it for the customers, it's just too many people in a small space all trying to get a task completed quickly. Their prices also aren't very competitive (I paid $40.00 for a simple hair trim where I would pay $25-$30 for the same service in the city).

I know they offer a lot of other services, so those experiences may be very different from what you get in the hair salon. I doubt I'll go back to find out for myself. I just feel as though the higher prices could only be justified if the ambiance and overall experience were something pleasurable, and I simply didn't think that the feel of the place was that great.

Beware that tips must be paid in cash - you can't tip on a credit card (that's also another strike against this joint)."
82,"I absolutely love Courtney! She is hands down the best hairstylist I have ever had. The reason I think she is so great is that she knows what will look best on me and over the past year has understood my limits for styles. I always go into the salon and tell her to cut my hair how she thinks will look best, and I always leave blown away at what she does. You know you have a great stylist when you don't have to specify what you want done, but instead they see what needs to be done. Great stylist, great personality and very knowledgeable. I would highly recommend her to anyone who wants to look their best.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I absolutely love Courtney! She is hands down the best hairstylist I have ever had. The reason I think she is so great is that she knows what will look best on me and over the past year has understood my limits for styles. I always go into the salon and tell her to cut my hair how she thinks will look best, and I always leave blown away at what she does. You know you have a great stylist when you don't have to specify what you want done, but instead they see what needs to be done. Great stylist, great personality and very knowledgeable. I would highly recommend her to anyone who wants to look their best."
83,"This is a gem! Arielle and Alana are knowledgeable, trendy, and just generally fun to explain dream hairstyles to. The revolving art gallery is interesting to look at while you wait for magic to happen! A must-try for a local hair-do!",revolving art gallery,,,,revolving art gallery,The salon has a revolving art gallery to look at while you wait.,,,,The salon has a revolving art gallery to look at while you wait.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",revolving art gallery,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: This is a gem! Arielle and Alana are knowledgeable, trendy, and just generally fun to explain dream hairstyles to. The revolving art gallery is interesting to look at while you wait for magic to happen! A must-try for a local hair-do!"
84,"April did a shoulder length haircut and made my hair look fresh and clean with a shampoo, blowout, and style. Very personable and friendly, gave me suggestions on where to eat and hike in the area.
Very easy to book, clean environment, nice staff.",,,,"eat, hike",,,,A staff meember gave a customer suggestions on where to eat and hike in the area.,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: April did a shoulder length haircut and made my hair look fresh and clean with a shampoo, blowout, and style. Very personable and friendly, gave me suggestions on where to eat and hike in the area.
Very easy to book, clean environment, nice staff."
85,"I've never written a review in yelp but I was so disappointed with the results of my haircut today. I came in for a last minute impulsive haircut and was excited to find a place with such good reviews that had appointments so soon. I'm in college, and so $50 (plus tip and uber money) was a bit of a splurge for me to be disappointed. My experience at the salon was good, everyone was friendly and my hairdresser seemed to know what she was doing. She had cut and blow dried my hair and trimmed down the front when I had asked. I left the salon really happy with my new hair. After coming home and styling it as I typically do (lightly straightening it), I found that my hair had been cut messy and uneven. I could have done a better job myself. I wish I would have seen this before leaving the salon, but the lady who had cut my hair had hidden the messy job by blow drying the ends under.

UPDATE: I called today to see if I could come back in and have someone with more experience fix my hair and they told me I could come back in but it would be an extra charge to have somebody else fix it. I understand that each individual stylist has their own price and needs to be paid, but I think that the salon should have enough confidence in the abilities of the people that they hire to be willing to cover the costs of their own employees mistakes. I would have been better off going to supercuts.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I've never written a review in yelp but I was so disappointed with the results of my haircut today. I came in for a last minute impulsive haircut and was excited to find a place with such good reviews that had appointments so soon. I'm in college, and so $50 (plus tip and uber money) was a bit of a splurge for me to be disappointed. My experience at the salon was good, everyone was friendly and my hairdresser seemed to know what she was doing. She had cut and blow dried my hair and trimmed down the front when I had asked. I left the salon really happy with my new hair. After coming home and styling it as I typically do (lightly straightening it), I found that my hair had been cut messy and uneven. I could have done a better job myself. I wish I would have seen this before leaving the salon, but the lady who had cut my hair had hidden the messy job by blow drying the ends under.

UPDATE: I called today to see if I could come back in and have someone with more experience fix my hair and they told me I could come back in but it would be an extra charge to have somebody else fix it. I understand that each individual stylist has their own price and needs to be paid, but I think that the salon should have enough confidence in the abilities of the people that they hire to be willing to cover the costs of their own employees mistakes. I would have been better off going to supercuts."
