,review,true_strong,true_weak,other,true_strong_weak,abs_true_strong,abs_true_weak,abs_true_other,abs_true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_true_other_alt,abs_true_strong_weak_alt,comments,instruction,label,formatted_output
149,"Overall experience was fine. I had tried stopping here before on a weekend and the place had customers lined out the door, so I passed. This time, we decided to go a round lunch time on a Friday and though the place is rather small, we were able to see some tables just waiting to be bussed before we knew we could stay. Like many places I've been to eat after the pandemic, this place was short staffed and just trying to get a hostess or waitress to seat us took a while. My wife flagged a woman down and she cleaned a spot for us and gave us real menus to look over. Once we had her attention, we quickly got our orders taken and beverages brought over. I ordered from the lunch menu (a yummy breaded tenderloin that remained moist and tender and mostly fit the bun. I asked for it loaded and even got some yellow mustard which she brought over without delay too. The breading had a nice seasoning too. Since I was eating, I also upgraded to a side salad that wasn't all weeds with a vinaigrette dressing. My wife ordered from the breakfast menu getting a waffle with strawberries and bananas. Not quite crisp enough for her preference, but a decent flavor. Her comment was that it could have been raised a level with some whipped cream on top. I suggested she ask but she didn't. Food was a little slow coming out of the kitchen compared to most local brunch spots I've been to lately. But manageable. One of the perks of this spot is that even if you have to wait, there are so many Indy 500 photos and collectibles inside that it is like a mini museum adventure looking around. Plenty of food options, plenty to see, just allow a little time. Convenient parking in the side lot and some street parking out front. Reasonably priced for what you get too! Review #3927","Indy 500 photos, collectibles",mini museum,,"Indy 500 photos, collectibles, mini museum",There are many Indy 500 photos and collectibles inside.,There are so many Indy 500 photos and collectibles inside that it is like a mini museum adventure looking around.,,There are so many Indy 500 photos and collectibles inside that it is like a mini museum adventure looking around.,There are many Indy 500 photos and collectibles inside the restaurant.,There are so many Indy 500 photos and collectibles inside that it is like a mini museum adventure looking around.,,There are so many Indy 500 photos and collectibles inside that it is like a mini museum adventure looking around.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","Indy 500 photos, collectibles, mini museum","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Overall experience was fine. I had tried stopping here before on a weekend and the place had customers lined out the door, so I passed. This time, we decided to go a round lunch time on a Friday and though the place is rather small, we were able to see some tables just waiting to be bussed before we knew we could stay. Like many places I've been to eat after the pandemic, this place was short staffed and just trying to get a hostess or waitress to seat us took a while. My wife flagged a woman down and she cleaned a spot for us and gave us real menus to look over. Once we had her attention, we quickly got our orders taken and beverages brought over. I ordered from the lunch menu (a yummy breaded tenderloin that remained moist and tender and mostly fit the bun. I asked for it loaded and even got some yellow mustard which she brought over without delay too. The breading had a nice seasoning too. Since I was eating, I also upgraded to a side salad that wasn't all weeds with a vinaigrette dressing. My wife ordered from the breakfast menu getting a waffle with strawberries and bananas. Not quite crisp enough for her preference, but a decent flavor. Her comment was that it could have been raised a level with some whipped cream on top. I suggested she ask but she didn't. Food was a little slow coming out of the kitchen compared to most local brunch spots I've been to lately. But manageable. One of the perks of this spot is that even if you have to wait, there are so many Indy 500 photos and collectibles inside that it is like a mini museum adventure looking around. Plenty of food options, plenty to see, just allow a little time. Convenient parking in the side lot and some street parking out front. Reasonably priced for what you get too! Review #3927"
150,"Just come here. There's not much else to say. If you're in Nashville and enjoy a good cocktail, The Patterson House is mandatory. You could go with their signature drinks but I'd try the classic cocktails, as each will inform you of how they should actually taste. This isn't a place to rush and swig your drink either. It will take longer than average for your drink to be made but it's SO worth it. I ordered a sidecar and my eyes literally widened at the first sip. It was THAT good. I'm glad I came here because I haven't really desired cocktails anywhere else since my visit, which is great for my wallet and waistline. Nothing will compare to The Patterson House for a while. I don't want my memories to be dulled or profaned just yet. The atmosphere is also fantastic. DAT ceiling. We came late on a Sunday night so we didn't have to wait. I'd still wait for the drinks here. Is it wrong that I want to move to Nashville just for The Patterson House?",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Just come here. There's not much else to say. If you're in Nashville and enjoy a good cocktail, The Patterson House is mandatory. You could go with their signature drinks but I'd try the classic cocktails, as each will inform you of how they should actually taste. This isn't a place to rush and swig your drink either. It will take longer than average for your drink to be made but it's SO worth it. I ordered a sidecar and my eyes literally widened at the first sip. It was THAT good. I'm glad I came here because I haven't really desired cocktails anywhere else since my visit, which is great for my wallet and waistline. Nothing will compare to The Patterson House for a while. I don't want my memories to be dulled or profaned just yet. The atmosphere is also fantastic. DAT ceiling. We came late on a Sunday night so we didn't have to wait. I'd still wait for the drinks here. Is it wrong that I want to move to Nashville just for The Patterson House?"
151,"S wanted me to see Ybor City when I first got into Tampa and I nodded, not knowing what the hell he was talking about.  (Ybor??) The concept of Ybor is actually perfect if you're looking to recreate a little Cuba in the Tampa area. We enjoyed seeing the (unfortunately closed) cigar shops and variety of restaurants which seemed to mainly focus on Cajun, American or Italian cuisine. With our appetites oppressing us, we tried Carmine's but they were short on staff and looking at a 30 minute wait to sit down even though there was no one there. We were going to leave the area for Italian elsewhere and this place caught our eye. So glad we stopped in. Once they saw us waiting, they put us in a nice booth in the corner. I wish I remembered the waiter's name because he was super nice. We got the eggplant rollatini appetizer and the Margherita pizza to share. If you're really hungry you probably want more. We could have used one tiny bite of something more. The pizza was great, but the eggplant was over the top!  Breaded, fried eggplant filled with ricotta and swathed in perfect tomato sauce. S was ready to swoon over it and I actually felt bad taking any of it because he was enjoying it so much.  Lol.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: S wanted me to see Ybor City when I first got into Tampa and I nodded, not knowing what the hell he was talking about.  (Ybor??) The concept of Ybor is actually perfect if you're looking to recreate a little Cuba in the Tampa area. We enjoyed seeing the (unfortunately closed) cigar shops and variety of restaurants which seemed to mainly focus on Cajun, American or Italian cuisine. With our appetites oppressing us, we tried Carmine's but they were short on staff and looking at a 30 minute wait to sit down even though there was no one there. We were going to leave the area for Italian elsewhere and this place caught our eye. So glad we stopped in. Once they saw us waiting, they put us in a nice booth in the corner. I wish I remembered the waiter's name because he was super nice. We got the eggplant rollatini appetizer and the Margherita pizza to share. If you're really hungry you probably want more. We could have used one tiny bite of something more. The pizza was great, but the eggplant was over the top!  Breaded, fried eggplant filled with ricotta and swathed in perfect tomato sauce. S was ready to swoon over it and I actually felt bad taking any of it because he was enjoying it so much.  Lol."
152,"""So good that we came here twice and bought a t-shirt"" This was probably one of the top 3 restaurants for my wife and I. We visited twice and can understand the hype. From the service to the food: amazing! Ambience: Hipster? Small amount of seating. Fits 40ish people. Eclectic. Star wars memorabilia dressed with random costumes and items. Yoda riding a unicorn. That sums it up. Clean and organized.Pricing: Quality at the right price. They are not throwing huge portions at you, but you are not getting ripped off. You're getting what you pay for. Reminder: they take the time to craft your food which means love and care was added. Worth it. Food: You order at the counter and hopefully you can find a seat after. Thankfully the selection is enough where you don't feel overwhelmed. This adds to the wait in line. Get what you know you love. You won't be disappointed. You don't have to follow what people suggest unless you guys have similar palettes. Charcuterie board 5/5I love cured meats and they do a great job of providing a decent selection of what they make themselves. 3 salamis and 2 tourines. You get chow chow (pickled onions and peppers) delish, a great deli mustard, and their house pickles. (My wife and I are addicted to these) it comes with flat bread crackers. Had this twice. Le pig mac 10/5. This sandwich exceeded what we read and have experienced out of anything we have eaten similar to this. It is two pork sausage patties with their amazing pickles, shredded lettuce, and amazing house sauce. It reminds you of a big Mac but without the negatives. Lol. My wife and I shared this behemoth. It is that huge. Coconut tart 4/5. My wife enjoyed the crust but stated the filling was a bit sweet for her. Mind you, a dessert for her needs balance while others may prefer decadence. It looked amazing and enticing. It says something about a place if they put proper care in the crust. Hot boudin 3/5. We had ordered this as a side to what we were eating. We were not expecting much. We ordered it because we wanted something that was native to the area. It's basically sausage with rice in it. It comes with their amazing pickles and must have mustard. We only ate the inside because the casing was not appealing to eat. It was only warmed through and meant to hold the filling which was good. Having it once was enough for us. Drink: I love drinking and consider my pallete to be pretty broad. I do have my preferences and things I'll look for. We were very lucky the day that we visited that they were serving Great Raft brewery. From what I've read and was told it is one of they great micro brews they have in the state of Louisiana. That's something to experience and boy were they on to something. I'm from the west coast and our beers tend to be hoppy and light bodied. We'll get some porters and stouts but they generally aren't typical. Baltic porter 5/5. Saison 4.5/5. Whoopsy daisy 5/5. Wife doesn't generally drink but enjoyed this and ordered it again. This tells me that it was easy and fun to drink. That is what she enjoys. Service: What I have noticed from my 10 days in nola that most restaurants will have a team of people that are taking care of you and at butcher this is no exception. They exceeded and welcomed us as travelers and not as tourists. We enjoyed some great conversations about the beers and they are very open about talking about life after the storm. They shared about the healing was happening and the community that came together and built everything back up. They spoke extremely well of chef Donald link (co owner) which speaks to the gratitude and loyalty they have to one another. It makes for a great place and a great environment to eat and be a part of. 10/5 Hashtag: #amustreturn #hugepartofnolalife #foodieheaven",t-shirt,"Star wars memorabilia, Yoda",,"t-shirt, Star wars memorabilia, Yoda",A customer bought a t-shirt.,They had Star wars memorabilia dressed with random costumes and items and Yoda riding a unicorn.,,"A customer bought a t-shirt.
They had Star wars memorabilia dressed with random costumes and items and Yoda riding a unicorn.",A customer bought a t-shirt.,The restaurant had Star wars memorabilia dressed with random costumes and items and Yoda riding a unicorn.,,"A customer bought a t-shirt.
The restaurant had Star wars memorabilia dressed with random costumes and items and Yoda riding a unicorn.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","t-shirt, Star wars memorabilia, Yoda","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: ""So good that we came here twice and bought a t-shirt"" This was probably one of the top 3 restaurants for my wife and I. We visited twice and can understand the hype. From the service to the food: amazing! Ambience: Hipster? Small amount of seating. Fits 40ish people. Eclectic. Star wars memorabilia dressed with random costumes and items. Yoda riding a unicorn. That sums it up. Clean and organized.Pricing: Quality at the right price. They are not throwing huge portions at you, but you are not getting ripped off. You're getting what you pay for. Reminder: they take the time to craft your food which means love and care was added. Worth it. Food: You order at the counter and hopefully you can find a seat after. Thankfully the selection is enough where you don't feel overwhelmed. This adds to the wait in line. Get what you know you love. You won't be disappointed. You don't have to follow what people suggest unless you guys have similar palettes. Charcuterie board 5/5I love cured meats and they do a great job of providing a decent selection of what they make themselves. 3 salamis and 2 tourines. You get chow chow (pickled onions and peppers) delish, a great deli mustard, and their house pickles. (My wife and I are addicted to these) it comes with flat bread crackers. Had this twice. Le pig mac 10/5. This sandwich exceeded what we read and have experienced out of anything we have eaten similar to this. It is two pork sausage patties with their amazing pickles, shredded lettuce, and amazing house sauce. It reminds you of a big Mac but without the negatives. Lol. My wife and I shared this behemoth. It is that huge. Coconut tart 4/5. My wife enjoyed the crust but stated the filling was a bit sweet for her. Mind you, a dessert for her needs balance while others may prefer decadence. It looked amazing and enticing. It says something about a place if they put proper care in the crust. Hot boudin 3/5. We had ordered this as a side to what we were eating. We were not expecting much. We ordered it because we wanted something that was native to the area. It's basically sausage with rice in it. It comes with their amazing pickles and must have mustard. We only ate the inside because the casing was not appealing to eat. It was only warmed through and meant to hold the filling which was good. Having it once was enough for us. Drink: I love drinking and consider my pallete to be pretty broad. I do have my preferences and things I'll look for. We were very lucky the day that we visited that they were serving Great Raft brewery. From what I've read and was told it is one of they great micro brews they have in the state of Louisiana. That's something to experience and boy were they on to something. I'm from the west coast and our beers tend to be hoppy and light bodied. We'll get some porters and stouts but they generally aren't typical. Baltic porter 5/5. Saison 4.5/5. Whoopsy daisy 5/5. Wife doesn't generally drink but enjoyed this and ordered it again. This tells me that it was easy and fun to drink. That is what she enjoys. Service: What I have noticed from my 10 days in nola that most restaurants will have a team of people that are taking care of you and at butcher this is no exception. They exceeded and welcomed us as travelers and not as tourists. We enjoyed some great conversations about the beers and they are very open about talking about life after the storm. They shared about the healing was happening and the community that came together and built everything back up. They spoke extremely well of chef Donald link (co owner) which speaks to the gratitude and loyalty they have to one another. It makes for a great place and a great environment to eat and be a part of. 10/5 Hashtag: #amustreturn #hugepartofnolalife #foodieheaven"
153,"In Horsham on business, A coworker and I decided to check out The Farm and Fisherman Tavern. Our server, Tani, was attentive and helpful in making selections from the menu. I ordered the Short Rib Agrodolce and my fellow diner had the Gulf Shrimp Lo Mein. Dessert was the Gooey Butter Cake and the Sticky Toffee Pudding. From start to finish, the meal was terrific!",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: In Horsham on business, A coworker and I decided to check out The Farm and Fisherman Tavern. Our server, Tani, was attentive and helpful in making selections from the menu. I ordered the Short Rib Agrodolce and my fellow diner had the Gulf Shrimp Lo Mein. Dessert was the Gooey Butter Cake and the Sticky Toffee Pudding. From start to finish, the meal was terrific!"
154,"Oooh! I love Jimmy's on the Park!! It's a great place to go for drinks or to catch up with that one friend you haven't seen in forever!! The food does not disappoint! This is a bistro, bar, fine/casual dining destination and music venue all in one!! It serves upscale contemporary American cuisine in a comfort food kind of way. Atmosphere: Outdoor seating is available and the main dining room features a floating fireplace and hundreds of caricatures of local celebs and regular diners. There's also live music at least three days out of the week. Very posh and caz (casual) at the same time. If ""The Hills"" were filmed in St. Louis, THIS is where Lauren would go to eat with Lo. Food: DELISH and inventive too! For appetizers, I like their spinach and artichoke dip and bruschetta. I haven't tried the crab & mango pizza but maybe I'll save that for next time or you can try it for me and let me know how it is! *wink wink* For their entrees, I like to switch it up every time I go, but their pork tenderloin has never proven me wrong. Extra notes: Sometimes there are long lines there and you may feel rushed while you're dining, but make sure you enjoy the view, sounds, and taste of Jimmy's...esp. if you're dropping $30 on a meal there!!!","music venue, live music","floating fireplace, caricatures",,"music venue, live music, floating fireplace, caricatures",They are a music venue. They have live music at least three days out of the week.,The main dining room features a floating fireplace and hundreds of caricatures of local celebs and regular diners.,,"They are a music venue. They have live music at least three days out of the week.
The main dining room features a floating fireplace and hundreds of caricatures of local celebs and regular diners.",The restaurant is a music venue. They have live music at least three days out of the week.,The main dining room features a floating fireplace and hundreds of caricatures of local celebs and regular diners.,,"The restaurant is a music venue. They have live music at least three days out of the week.
The main dining room features a floating fireplace and hundreds of caricatures of local celebs and regular diners.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","music venue, live music, floating fireplace, caricatures","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Oooh! I love Jimmy's on the Park!! It's a great place to go for drinks or to catch up with that one friend you haven't seen in forever!! The food does not disappoint! This is a bistro, bar, fine/casual dining destination and music venue all in one!! It serves upscale contemporary American cuisine in a comfort food kind of way. Atmosphere: Outdoor seating is available and the main dining room features a floating fireplace and hundreds of caricatures of local celebs and regular diners. There's also live music at least three days out of the week. Very posh and caz (casual) at the same time. If ""The Hills"" were filmed in St. Louis, THIS is where Lauren would go to eat with Lo. Food: DELISH and inventive too! For appetizers, I like their spinach and artichoke dip and bruschetta. I haven't tried the crab & mango pizza but maybe I'll save that for next time or you can try it for me and let me know how it is! *wink wink* For their entrees, I like to switch it up every time I go, but their pork tenderloin has never proven me wrong. Extra notes: Sometimes there are long lines there and you may feel rushed while you're dining, but make sure you enjoy the view, sounds, and taste of Jimmy's...esp. if you're dropping $30 on a meal there!!!"
155,OMG. Where do I start? At the coffee bar? The tea lounge? Or should I start with the bookstore/gift shop at either entrances of this wonderful former planetarium. The open forum of this restaurant really creates this Sunday afternoon atmosphere. I feel like butterflies should be fluttering around me as I enjoy my freshly brewed tea from their tea bar or their lobster roll and fresh crisp slaw.You can't go wrong with anything on their brunch/lunch menu. Anything they make in-house is bound to be a-mazing aka their slaw. Finish off your breakfast with an award winning cup of coffee from their neighboring coffee bar as well. Just two words. Five. Stars.,bookstore/gift shop,,,bookstore/gift shop,They have a bookstore/gift shop at either entrances.,,,They have a bookstore/gift shop at either entrances.,The restaurant has a bookstore/gift shop at either entrances.,,,The restaurant has a bookstore/gift shop at either entrances.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",bookstore/gift shop,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: OMG. Where do I start? At the coffee bar? The tea lounge? Or should I start with the bookstore/gift shop at either entrances of this wonderful former planetarium. The open forum of this restaurant really creates this Sunday afternoon atmosphere. I feel like butterflies should be fluttering around me as I enjoy my freshly brewed tea from their tea bar or their lobster roll and fresh crisp slaw.You can't go wrong with anything on their brunch/lunch menu. Anything they make in-house is bound to be a-mazing aka their slaw. Finish off your breakfast with an award winning cup of coffee from their neighboring coffee bar as well. Just two words. Five. Stars."
156,"We decided to do the ""Grapes and Hops"" tour to mix things up from the typical day full of wineries...turned out to be the perfect choice. The tour guide/owner, Sean took us to 3 of his favorite wineries, then to an awesome brewery, where all the tastings were included. That might be what you might expect, but beyond expectations, this tour includes a delicious lunch, pickup and dropoff from hotels in Santa Barbara, but most importantly, a really sophisticated journey through the process of winemaking and beer brewing. In fact, through relationships that Sean has nurtured through the years, he is even able to get you behind the scenes so you can experience the actual production from start to finish of red wines, white wines, and beers. Outside of alcohols, he is very knowledgeable about Santa Barbara and Southern California, and gave us some great tips for dining and travel...and he was spot on. I would recommend this tour to anyone who likes to explore and learn about wines and beers. And don't forget you get a souvenir wine glass and bottle of wine, included in the price!","""Grapes and Hops"" tour",,great tips,"""Grapes and Hops"" tour","They have a ""Grapes and Hops"" tour.",,The tour guide/owner gave tips on Santa Barbara and Southern California dining and travel to a customer.,"They have a ""Grapes and Hops"" tour.","The restaurant has a ""Grapes and Hops"" tour.",,The tour guide/owner gave tips on Santa Barbara and Southern California dining and travel to a customer.,"The restaurant has a ""Grapes and Hops"" tour.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","""Grapes and Hops"" tour","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: We decided to do the ""Grapes and Hops"" tour to mix things up from the typical day full of wineries...turned out to be the perfect choice. The tour guide/owner, Sean took us to 3 of his favorite wineries, then to an awesome brewery, where all the tastings were included. That might be what you might expect, but beyond expectations, this tour includes a delicious lunch, pickup and dropoff from hotels in Santa Barbara, but most importantly, a really sophisticated journey through the process of winemaking and beer brewing. In fact, through relationships that Sean has nurtured through the years, he is even able to get you behind the scenes so you can experience the actual production from start to finish of red wines, white wines, and beers. Outside of alcohols, he is very knowledgeable about Santa Barbara and Southern California, and gave us some great tips for dining and travel...and he was spot on. I would recommend this tour to anyone who likes to explore and learn about wines and beers. And don't forget you get a souvenir wine glass and bottle of wine, included in the price!"
157,"I was visiting from Florida and we found this place during our short stay. We came for dinner and were back the very next morning for brunch. It is an absolutely gorgeous, peaceful atmosphere with beautiful plants all over the place. The details in their service are so lovely...they serve bread made in a clay pot with a side of peach-honey salted whipped butter. YUM. The food was great both times. I had a mushroom cream soup at dinner that was delicious and for brunch, the breakfast board. The hosts and severs were all so kind to us. The manager we met, Molly, was an absolute sweetheart and so hospitable. Behind the restaurant is a huge area of plants for sale, which are ALL in impeccable condition (I did not see one plant that did not look well taken care of and completely happy...I wanted to buy so many haha), and a cute indoor store with beautiful pots, candles, terrariums, etc. I am in love with this place and seriously wish there was one where I live. Thank you for a great memory...I'll be back!!!!!","plants, cute indoor store, beautiful pots, candles, terrariums",,,"plants, cute indoor store, beautiful pots, candles, terrariums","Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.",,,"Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.","Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.",,,"Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","plants, cute indoor store, beautiful pots, candles, terrariums","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I was visiting from Florida and we found this place during our short stay. We came for dinner and were back the very next morning for brunch. It is an absolutely gorgeous, peaceful atmosphere with beautiful plants all over the place. The details in their service are so lovely...they serve bread made in a clay pot with a side of peach-honey salted whipped butter. YUM. The food was great both times. I had a mushroom cream soup at dinner that was delicious and for brunch, the breakfast board. The hosts and severs were all so kind to us. The manager we met, Molly, was an absolute sweetheart and so hospitable. Behind the restaurant is a huge area of plants for sale, which are ALL in impeccable condition (I did not see one plant that did not look well taken care of and completely happy...I wanted to buy so many haha), and a cute indoor store with beautiful pots, candles, terrariums, etc. I am in love with this place and seriously wish there was one where I live. Thank you for a great memory...I'll be back!!!!!"
158,"My first time enjoying ""Burrito Libre"" was ordering it from skip the dishes, I don't have much to say about the dining experience there. You are offered a minimal amount of ingredients that you can stuff into your burrito but they are quite unique with the flavours of there proteins! There salsas and sauces are also unique and flavourful. For the guacamole and chips I think they need a little bit more seasoning (more salt and pepper). The price is pretty decent and on the cheaper side for Sherwood park (10.00$ for a large burrito). I enjoy eating from the place but it needs to have more selection of toppings that are enjoyed in a burrito to compete with the other Mexican restaurants.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: My first time enjoying ""Burrito Libre"" was ordering it from skip the dishes, I don't have much to say about the dining experience there. You are offered a minimal amount of ingredients that you can stuff into your burrito but they are quite unique with the flavours of there proteins! There salsas and sauces are also unique and flavourful. For the guacamole and chips I think they need a little bit more seasoning (more salt and pepper). The price is pretty decent and on the cheaper side for Sherwood park (10.00$ for a large burrito). I enjoy eating from the place but it needs to have more selection of toppings that are enjoyed in a burrito to compete with the other Mexican restaurants."
159,"The big draw of this place is the excellent pizza, which you can have with beer on an outside deck with a view of parklands. It's a nice place to hang out on a sunny afternoon. You can even go for a walk in the Goose Creek Park behind the restaurant afterwards to burn off the calories you just consumed. The big minus is that if you go for lunch or in early afternoon, the menu is really limited. ""Grill"" is a misnomer - should really be called Goose Creek Pizza and Salad because that, along with a few pedestrian sandwich and appetizer choices, is all they offer before 4:30 pm. The menu had a whole page of entrees that looked tasty, but are only served after 4:30 pm. Since we were there before 4:30 pm, we didn't get to eat any, and I'm not sure I want to go back in the evening when it's probably more crowded and less fun to eat outdoors. The pizza selections are interesting - everything from bacon cheeseburger to various veggie and cheese combos - and the crust is very good, better than Uno's up the street. It would be nice if Goose Creek had a choose-your-own-toppings option as I don't think I saw one. The beer selection is OK - not a lot on tap, a few more selections in the bottle. I think Uno's up the street beats them there. This place also seems to attract a goodly number of families with kids at lunch times, probably because it serves pizza and there's a playground in the adjoining park, so be aware that you'll probably be swigging back your beer with someone's little Muffy and Joshie scampering past your table. Of course, after the second or third beer, you probably won't care.","parklands, Goose Creek Park, playground",,Uno's,"parklands, Goose Creek Park, playground, Uno's","They have an outside deck with a view of the parklands.
Customers can go for a walk in the Goose Creek Park behind the restaurant.
There's a playground in the adjoining park.",,There is Uno's up the street.,"They have an outside deck with a view of the parklands.
Customers can go for a walk in the Goose Creek Park behind the restaurant.
There's a playground in the adjoining park.","The restaurant has an outside deck with a view of the parklands.
Customers can go for a walk in the Goose Creek Park behind the restaurant.
There's a playground in the adjoining park.",,There is Uno's up the street.,"The restaurant has an outside deck with a view of the parklands.
Customers can go for a walk in the Goose Creek Park behind the restaurant.
There's a playground in the adjoining park.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","parklands, Goose Creek Park, playground, Uno's","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: The big draw of this place is the excellent pizza, which you can have with beer on an outside deck with a view of parklands. It's a nice place to hang out on a sunny afternoon. You can even go for a walk in the Goose Creek Park behind the restaurant afterwards to burn off the calories you just consumed. The big minus is that if you go for lunch or in early afternoon, the menu is really limited. ""Grill"" is a misnomer - should really be called Goose Creek Pizza and Salad because that, along with a few pedestrian sandwich and appetizer choices, is all they offer before 4:30 pm. The menu had a whole page of entrees that looked tasty, but are only served after 4:30 pm. Since we were there before 4:30 pm, we didn't get to eat any, and I'm not sure I want to go back in the evening when it's probably more crowded and less fun to eat outdoors. The pizza selections are interesting - everything from bacon cheeseburger to various veggie and cheese combos - and the crust is very good, better than Uno's up the street. It would be nice if Goose Creek had a choose-your-own-toppings option as I don't think I saw one. The beer selection is OK - not a lot on tap, a few more selections in the bottle. I think Uno's up the street beats them there. This place also seems to attract a goodly number of families with kids at lunch times, probably because it serves pizza and there's a playground in the adjoining park, so be aware that you'll probably be swigging back your beer with someone's little Muffy and Joshie scampering past your table. Of course, after the second or third beer, you probably won't care."
