,review,true_nc,true_oc,true_nc_oc,true_nc_reasoning,reasoning
41,"I like coffee shops. I study at them. I work in them. I hang out at them...way too much. I spend tons of my hard earned cash on coffee shops despite being able to brew a perfectly good cup at home. I consider myself a conniseur of the coffee shop. Bean Gallery disappoints me.Bean Gallery has terrible coffee. It's watery and lukewarm. The espresso is likewise not tasty and is expensive. The workers seem lost as to how to make a good espresso. The tea is good albeit expensive.The barista charges seem to be completely arbitrary. I don't think I ever pay the same price twice here. The cafe has many tables for studying and people turn it into a makeshift office during the day. In the morning there is a large crowd of regulars. They basically yell at each other when conversing. I've never heard people speak this loudly! One of the worst offenders has a dog that either smells terrible when he brings it inside or barks outside. The regulars usually yell to each other about local politics and news stories in the daily paper. I think it's really inappropriate. I think the regulars believe it's kitschy and cute.At night there are several tutors who meet with students on the big table. This can be a bit uncomfortable to be around and the tutors are loud. The shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership."" The internet is so-so. It's not a bad place for study but it tends to get really loud. The morning and night regulars are pretty obnoxious about their decibel level.One of the biggest complaints I have about BG is that it's so dirty. Flthy!! It walks the line between yuppie shop and hippie shop, taking the worst of both worlds. Obnoxiousness and uncleanliness. The bathrooms scare me. I've seen worse, but these are just not acceptable for the caliber of shop this should be.The sanwhiches and food are pretty bad. They are delivered fresh daily but the quality is low. Ordering a sandwhich here made me regret not eating at one of the many other options nearby.Parking is all along the street. It's actually a little bit dangerous to avoid cars flying down Canal Street or turning down the road alongside the shop. The road by the shop is very narrow with cars parked on both sides. Cars turning from Canal are forced to speed across onto this street and go far too fast by the parked cars. Thus patrons exiting their cars in this area are in real danger of being hit. There is not a good solution to this problem other than avoiding parking on that street.I do like the mugs that are used in the coffee shop. But they are a bit dirty and do not make up for the many deficiencies. To-go cups are, as another reviewer pointed out, styrofoam. Whatever. This place has many other things it needs to address before the cups!Overall this is a usable coffeeshop but I live nearby and will drive elsewhere if I can spare the time. This shop has the bones of being a GREAT place, but it disappoints as is.","used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet",None,"used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet",None,None
42,"THE SERVICEOur first waiter Ed was awesome! If we could just review him, this would be 5-stars. He was attentive, helpful and funny. We were bummed he had to leave mid-meal (but it happens) and then it was sort of like our table was ghosted. We received our next dishes without issue but then no one followed up with us quite a while and we wanted to order desserts and get our check. The other challenge with service was pacing based on the size of our table. We were at a small high top  near the bar. First of all, there were no hooks under the table to hang a purse so we were sort of stuck with either bags on the ground or tucked behind our back. The table was small (high tops usually are) and all the plates we ordered would be brought out at once. There'd be no space on the table to move drinks. It was precarious at times. Next time, instead of ordering 3-4 plates at once, I'd do one or two at a time to prevent that from happening again. THE LOCATIONFull disclosure: I'm a MidTown/Downtown girl, so Zeppelin is a trek for me. I wish it was closer to the hustle and bustle of the heart of Reno. Their location is way out in the suburbs of South Reno so I won't be able to be a regular.There is plenty of parking so you don't need to worry about that. THE COCKTAILSI ordered The Devil's Mouth-a fruity jalapeño margarita-first. Fair warning: the spicy salt rim is SPICY. When you get a big helping of it, it's definitely a shock to the system. That said, I loved the cocktail itself which had the slightest hint/kick of jalapeño. Next time, I'd get it with out the spicy rim.The second cocktail was somewhat of my own design. I added whiskey to their Lavender Lemonade from the mocktail menu. I was hoping the lavender lemonade would be very distinctive, but it just tasted like lemonade and whiskey. I didn't dislike it at all! It just didn't blow my mind.DINNERSalma and I went wild ordering lots of shareable plates. The Tempura Green Beans were a surprise hit. They are basically green been French fries with a fancy aioli. The Short Rib tacos were a hit. Easily one of the best plates of the night.We also ordered half a dozen oysters. I'm always skeptical of oysters in Nevada, but I'm open to being surprised. Unfortunately, the oysters seems a little warm to me. They were served over ice but they just didn't have that crispness that I expect from great oysters. I've been spoiled by my time on the east coast.The rotational pizza (their weekly social) was phenomenal! We couldn't finish it so I took home leftovers for sure. The pizza was hot, cheesy and covered in toppings. I would definitely get another flatbread here. The Lamb Skewers served with their tzatziki-style sauce were like lamb meatballs. I found them to be over salted and I lost the ability to enjoy the flavors of everything else in the dish. Once again, not bad. But I think the flavors need a little refining personally.DESSERTI love the way they do dessert. You use a piece of paper and a pencil to check off what you want to order on a list. The servings are fairly small so you don't feel too indulgent. I definitely recommend the Bourbon Caramel Brownies and the Blueberry Cheesecake.WRAP UPI would come here again for sure! It's got a nice ambiance and it's not too loud. There are some great drink, dinner and dessert items. And all of the staff members we engaged with were wonderful! That said, it's three stars because it didn't blow me out of the water the way some of my other favorite places in Reno have.",None,None,None,None,None
43,"I am a teatime exclusive. I live in New Port Richey FL and frequent The White Heron there for my teatime. I found this teahouse online and decided to visit it with a good friend of mine, we always love tea adventures! At first sight it was quite impressive. But, never judge a book by its cover! The tea here was bland, one I tried tasted like mushroom soup, not at all goodThe waitress seemed to snuff us in favor of better dressed guests...note I am an Actress and purposely dress down when I go out to see if I am treated with as much respect if I was in my all dolled up way. Well, we were ignored. The food was not at all filling and the scones were like hokey pucks! I hope they can step up their game.",None,None,None,"* Restaurants typically focus on providing good service, any type of food, beverages such as teas, etc. Restaurants also focus on providing ambience.","* Restaurants typically focus on providing good service, any type of food, beverages such as teas, etc. Restaurants also focus on providing ambience."
44,Eh this place is ok. It was nice to sit along the water and see a manatee. Our app came a second before out food. I hate that. Why order an app? The grouper - forget what this is called Jenny's something in lobster sauce- was awful. Even the mashed potatoes were so salty I couldn't even eat it. The mozzarella sticks were really good though. Our waitress was great that's what saved the place from only getting one star from me.,"water, manatee",None,"water, manatee",None,None
45,"Visited on trivia night and had a burger and fries. They were well seasoned and the environment was nice. It also was 4th of July so there was a perfect vantage point of the fireworks. Be warned though that the debris does not distinguish on who get pelted in the chest. I will reserve comment on the beer selections as I do not care for beer. But, if you like it...they've got gobs if it ...go to town!","trivia night, fireworks",None,"trivia night, fireworks","* Restaurants typically focus on providing food such as burger and fries, beverages such as beer, service, and ambience-related entertainment such as recorded music, but do not typically provide entertainment such as a trivia night. Therefore, I think that providing trivia night is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as burger and fries, beverages such as beer, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a perfect vantage point for 4th of July fireworks with a potential hazard of debris. Therefore, I think that ""fireworks"" is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food such as burger and fries, beverages such as beer, service, and ambience-related entertainment such as recorded music, but do not typically provide entertainment such as a trivia night. Therefore, I think that providing trivia night is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as burger and fries, beverages such as beer, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a perfect vantage point for 4th of July fireworks with a potential hazard of debris. Therefore, I think that ""fireworks"" is an atypical aspect of this restaurant."
46,"The coffee is great, some of the best I have ever had. The people are nice and the atmosphere is warm and inviting. Good tunes, free wifi and ample parking.... This is my favorite coffee place in Philly. Plus if you are a gardener, on the stoop you will find bags of coffee grounds for your compost. You really can't beat it.","free wifi, gardener, coffee grounds, compost",None,"free wifi, gardener, coffee grounds, compost",None,None
47,"Great, but expensive. We went there twice and ate outside both times. Live music and lounge area with sofas added to the cool, urban vibe. If you want to sit by the fishies, reservations are a must, even on a weekday. Kids can snorkel in the tank, but you need reservations, too.","Live music, lounge area, fishies, tank","cool, urban vibe","Live music, lounge area, fishies, tank, cool, urban vibe","* Restaurants typically focus on providing food, drinks, and ambiance-related entertainment such as recorded music. However, restaurants do not typically have live music for entertainment. Therefore, I think that ""live music"" is an atypical aspect of this restaurant.
* Restaurants typically have a waiting area but do not typically have a lounge area where you can take a drink. Therefore, I think the ‘lounge area’ is atypical in this restaurant.
* Restaurants typically provide food and have decor, and ambiance to make the place enjoyable while having food. But, do not typically have animals like fish to make meals enjoyable. Therefore, I think the ‘fishies’ is atypical in this restaurant.
* Restaurants typically focus on providing food, drinks, and ambiance-related entertainment such as recorded music. However, restaurants do not typically have tanks where kids can do activities such as snorkel. Therefore, I think that the ""tank"" is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food, drinks, and ambiance-related entertainment such as recorded music. However, restaurants do not typically have live music for entertainment. Therefore, I think that ""live music"" is an atypical aspect of this restaurant.
* Restaurants typically have a waiting area but do not typically have a lounge area where you can take a drink. Therefore, I think the ‘lounge area’ is atypical in this restaurant.
* Restaurants typically provide food and have decor, and ambiance to make the place enjoyable while having food. But, do not typically have animals like fish to make meals enjoyable. Therefore, I think the ‘fishies’ is atypical in this restaurant.
* Restaurants typically focus on providing food, drinks, and ambiance-related entertainment such as recorded music. However, restaurants do not typically have tanks where kids can do activities such as snorkel. Therefore, I think that the ""tank"" is an atypical aspect of this restaurant."
48,"Visited here earlier for a coffee break with a few co-workers, and we really, really enjoyed it.When you walk in the door from the rear parking lot, you come off the new deck and are greeted by reclaimed wide wooden floors that we later learned used to be Al Gore's tobacco barn. Seriously.The folks from Magdalene have done a terrific job with their choices in lighting fixutres, seating, decor - across the board. I especially loved the chandeliers that are teacup collections representing a larger story you'll have to read once you visit. I totally smelled a pinterest post in my future... and if you've ever seen folks taking an old antique door and turning that into a coffee table... they've done that, too, up front in between comfy couches.I had a chai latte. It was good, not the best one I've ever had, but good. Their selections of sandwiches and salads looked so tempting that as I left, I grabbed a Turkey Club ($7) and tomato cucumber salad ($3) for lunch - that now that I have enjoyed, I now love this place.(I do realize their sandwiches and salads are provided by a third party... that's OK... they're still good and benefiting a good cause).The coffee is a la Just Love Coffee out of Murfreesboro, another company I thoroughly enjoy.I even brought back a dessert that is vegan and gluten free, and I thought to myself I know I won't like it, but wanted to try. I sound like Mikey, I know, I liked it! My choice is a cookie that is an Oreo sandwich - basically two large chocolate dense cookies almost like a brownie sandwiching white cream. Vegan, gluten free, whatever, it's good and a bargain at only $3. BIG cookie. Still enjoying as I write this cookie. Will still be enjoying at 4 pm cookie.I love that the paper studio where the women of the program are making journals and gift tags, etc. is right there, and I love that they also sell their candles, lip balms, etc. How often can you combine a coffee fix, birthday gift shopping errand, and support a local charity all at once?I know I'll be back. I've already booked a business coffee here for later this week. Happy to support.My only downside? They close at 2 pm, and are not open on weekends at all. So if you don't work nearby, you may not get the chance to visit. Sorry about that, I'll have another bite of cookie for you!","paper studio, journals, gift tags, their candles, lip balms, local charity","reclaimed wide wooden floors, Al Gore's tobacco barn, lighting fixutres, seating, decor, chandeliers, teacup collections, old antique door","paper studio, journals, gift tags, their candles, lip balms, local charity, reclaimed wide wooden floors, Al Gore's tobacco barn, lighting fixutres, seating, decor, chandeliers, teacup collections, old antique door",None,None
49,"Went there with some friends to watch Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent) play some nasty blues. It was only a Tuesday so the place wasn't packed out or anything but was a good show. I can see how this place has alot of potential for a great time to be had. As far as the club and kitchen, I'm only giving it 3 stars simply because I didn't sample the food there and was only drinking beer. I can' really judge the cooking or the bartending skills at this point. Next time I'll hit up some the BB-Q and some margaritas then renew my review.Lots of parking across the street is a plus.","Derek St. Holmes, blues",None,"Derek St. Holmes, blues",None,None
50,"I've only had the bahn mi sandwiches here, but they are really good. They're super cheap, around $3.50 each, so I assumed they would be small and got two my first time. I didn't need two. You can easily make a meal of just one. I was still glad I got two because they were very tasty and I enjoyed them leftover just as well. I've just done carry out, and if you plan on going that route I would call ahead as they take a little while to make. Subway this isn't, and that is a good thing.",None,None,None,"* Restaurants typically focus on providing good service, any type of food, beverages at any price point. Restaurants also focus on providing ambience.","* Restaurants typically focus on providing good service, any type of food, beverages at any price point. Restaurants also focus on providing ambience."
51,"Baguette Deli is located in the same plaza as Fred Meyer, specifically next door to Great Clips, with plenty of parking.My husband found this place on Yelp and so we came here on a Sunday around 6:30 pm. After looking over the menu board, we ended up getting:Vermicelli, $7.95 prior to tax- This noodle entrée is good for two and was tasty. The meat was also good and tender.#1 House Special, $4.95 prior to tax- My husband opted for this sandwich. The lunch meat is good but on the skimpy side. The baguette bread used was good and had a nice chew.-----------------(Total= $13.14 after tax)When we came in, I wanted to order spring rolls but they were already sold out. Same with a milk tea that I had asked to purchase. I was surprised that a handful of items I had asked for were already sold out ~ 90 minutes before closing time. But I guess at least they still had the ingredients to make banh mi sandwiches.Well I've had better, but maybe that's because I'm from Los Angeles where there are a lot of places that make really good Vietnamese food. Overall, this place is okay, thus my 3 star rating.",None,None,None,None,None
52,"Worst dining experience I've ever had. I went in with low expectations...burger bar on Bourbon St...at 9pm. We were seated at an awkward bar, table, island thing, even though there were open ""regular"" tables. It took about 15 minutes for a waiter to come by and get our drink order, and then another 15 to actually get them. While we were waiting, we saw a RAT, yes, a rat, scamper across the floor into the bar area. Food arrived about 30 minutes after it was ordered, and it was average at best. Once checks were brought, our waiter became a ghost. We had to take credit cards to a manager to get them processed. If you're on Bourbon, do yourself a favor...skip the Bayou Burger.",None,None,None,None,None
53,"Look kids! A sushi spot in a shopping center!! Something you see just all the time. All jokes aside, I think Wasabi2 has some of the best, reasonably priced sushi/sashimi around. The employee who answers the phone every time I order is so freaking friendly, I address him by his first name when I go pick up my food. One time I got a free calendar and it was pretty hilarious to watch 6 of my family members look at their zodiac symbol and argue whether they do or don't fit the traits of their cosmic sign. One thing we can't argue over is how consistently good this sushi spot is.",free calendar,None,free calendar,"* Restaurants typically provide complimentary food and beverage items for example wasabi sauce. However restaurants do not typically provide complimentary free items such as calendars with zodiac signs. Therefore, I think that providing a ""free calendar"" is an atypical aspect of this restaurant.","* Restaurants typically provide complimentary food and beverage items for example wasabi sauce. However restaurants do not typically provide complimentary free items such as calendars with zodiac signs. Therefore, I think that providing a ""free calendar"" is an atypical aspect of this restaurant."
54,"A bit high priced, and the food is overall good, but not amazing. Still, I really enjoyed myself here probably because I just love sitting at a place on the water (even if the road is right nearby). The place seems large and mostly outdoors. It's a casual fun atmosphere and boaters can come right up to dock. You can also bring your pets! In fact, I saw one guy who brought his parakeet on his shoulder! lolWe had some tasty frozen drinks, that either hid the alcohol taste very well with all the sweetness or it was lacking enough alcohol. I'm not sure which, but kinda leaning towards the latter. They have a few beers on tap, but may not be familiar with them. For example, our waitress didn't know that there are several types of Sam Adams beers when I asked which one was on tap.I had the stuffed flounder for my main course and ate every bite. However, I could have been better with less sauce on it. My stomach hurt from all that afterwards I think. We tried the fried cheesecake for dessert...it was okay. Nothing exciting.If you're looking for a leisurely dinner outside while enjoying the Florida atmosphere, this is your place. I wouldn't say no to going back!","water, boaters, dock, your pets",None,"water, boaters, dock, your pets","* Restaurants typically have indoor seating arrangements for having food or beverages but do not typically have a place to sit on the water. Therefore, I think the ‘water’ is atypical in this restaurant.
* Restaurants typically provide access to on-road vehicles but do not typically provide access to boaters. Therefore, I think the ‘boaters’ is atypical in this restaurant.
* Restaurants typically have parking spaces for on-road vehicles but do not typically have docking areas. Therefore, I think the ‘docking area’ is atypical in this restaurant.
* Restaurants typically are for people but do not typically allow pet animals. Therefore, I think the ‘your pets’ is atypical in this restaurant.
","* Restaurants typically have indoor seating arrangements for having food or beverages but do not typically have a place to sit on the water. Therefore, I think the ‘water’ is atypical in this restaurant.
* Restaurants typically provide access to on-road vehicles but do not typically provide access to boaters. Therefore, I think the ‘boaters’ is atypical in this restaurant.
* Restaurants typically have parking spaces for on-road vehicles but do not typically have docking areas. Therefore, I think the ‘docking area’ is atypical in this restaurant.
* Restaurants typically are for people but do not typically allow pet animals. Therefore, I think the ‘your pets’ is atypical in this restaurant."
55,"We had a fabulous dinner tonight. My husband and I had the Grouper encrusted with crab, my daughter had the grilled shrimp. All of us loved our meals. The sauce on the grouper was one that my husband couldn't get enough of. I thought he may start licking the plate! My daughter enjoyed the grilled shrimp. They had good flavor and their size was respectable for the portion size.Our server was attentive and helpful, both giving meal recommendations that were on point, along with ideas for activities for tomorrow. The view of the river walk was also a plus, even at night.We were a bit blown away at the experience at a hotel restaurant. It was a great decision.",river walk,None,None,None,None
56,"I ordered Chef Eugene's turkey necks (an appetizer special), a side of mac n cheese, and a side of collard greens. I was in NOLA 5 days, treated eating like a job, and this was by far the best meal I had the whole trip (which is saying a lot considering NOLA's food scene). The sides were amazing, but the turkey necks were really standout. They blew me out of the water. I'd never had turkey necks before but had heard they could be really tender and delicious. Chef Eugene's turkey necks far exceeded my expectations. He said it's all about the sauce (which it sounds like he may be trying to market soon - in which case, I'll be first in line). I was literally emotional by the end of the meal - my soul felt nourished in a way that very few meals can make you feel.It's also really impressive that the restaurant has an outreach program to help at-risk youth by providing training, etc. They also have a meal sponsorship program to support students. And if that's not enough - the prices are really great here. This all makes me believe that this place is more than a restaurant. It truly seems to enrich the community in which it resides.","outreach program, meal sponsorship program",None,"outreach program, meal sponsorship program","* Restaurants typically focus on providing food such as turkey necks, beverages, service, and ambiences. However, restaurants do not typically provide programs such as an outreach program. Therefore, I think that the restaurant providing an outreach program is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as turkey necks, beverages, service, and ambiences. However, restaurants do not typically provide programs such as a meal sponsorship program. Therefore, I think that the restaurant providing a meal sponsorship program is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food such as turkey necks, beverages, service, and ambiences. However, restaurants do not typically provide programs such as an outreach program. Therefore, I think that the restaurant providing an outreach program is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as turkey necks, beverages, service, and ambiences. However, restaurants do not typically provide programs such as a meal sponsorship program. Therefore, I think that the restaurant providing a meal sponsorship program is an atypical aspect of this restaurant."
57,"For any bruja, witch, warlock, or spiritual medium this is the tea house and coffee for you! Even if you aren't as in touch with your third eye they have an on site medium to contact your ancestors and read your cards to awaken your spirituality. The inside is an eclectic mixture of ancient art and witchy wares with a giant moon above you on the ceiling. Their apothecary area is where they assemble their medicinal teas and perform their spiritual readings. Any woman would feel at home here, a perfect womb of safe spirituality.","on site medium, Their apothecary area","ancient art, witchy wares, giant moon","on site medium, Their apothecary area, ancient art, witchy wares, giant moon","* Restaurants typically focus on providing mediums to contain food and drinks. However, restaurants do not typically provide ""on site mediums"" to contact ancestors and to awaken one's spirituality. Therefore, I think that providing ""on site mediums"" is an atypical aspect of this restaurant.
* Restaurants typically have areas such as a bar to prepare alcoholic or refreshing beverages. However, restaurants do not typically contain apothecary areas to prepare medicinal and spiritual drinks. Therefore, I think that ""Their apothecary area"" is an atypical aspect of this restaurant.","* Restaurants typically focus on providing mediums to contain food and drinks. However, restaurants do not typically provide ""on site mediums"" to contact ancestors and to awaken one's spirituality. Therefore, I think that providing ""on site mediums"" is an atypical aspect of this restaurant.
* Restaurants typically have areas such as a bar to prepare alcoholic or refreshing beverages. However, restaurants do not typically contain apothecary areas to prepare medicinal and spiritual drinks. Therefore, I think that ""Their apothecary area"" is an atypical aspect of this restaurant."
58,"I love this place! Food is always good never had a bad experience, the service is great everyone is welcoming and just treats you like a friend or family. Plus, they have a ""parakeet paradise"" outside of the side window who could not love sitting enjoying a meal and watching the birds playing and flying around! Will keep coming back!",parakeet paradise,None,parakeet paradise,"* Restaurants typically have decor, and ambiance to make the place enjoyable while having food. But, do not typically have a parakeet paradise to make meals enjoyable. Therefore, I think the ‘parakeet paradise’ is atypical in this restaurant.","* Restaurants typically have decor, and ambiance to make the place enjoyable while having food. But, do not typically have a parakeet paradise to make meals enjoyable. Therefore, I think the ‘parakeet paradise’ is atypical in this restaurant."
59,"I LOVE this Keva!!! I think I probably visit here at LEAST once a week. Not only is the menu amazing, but the staff is awesome and extremely friendly! There is practically never a wait and they get you right in and out!",None,None,None,None,None
60,So many sushi places to choose from this is one of my go to places.  Good quality sushi with a good selection of rolls and includes appetizers (always a plus). Lunch for only $15.95 and dinner for $21.95 and one of the only places that offer a kids price for all you can eat under 11 years old $10.95 kid lunch and $13.95 kid dinner. Very friendly staff and quick service. Ask for the dessert sushi roll too (not on the menu) but worth a try.,None,None,None,None,None
61,"I love Besito! They have the yummiest Mexican food at a very reasonable price. Their complimentary chips and salsa are really good, as well as their complimentary dessert churros. It's a very nice touch. Go for happy hour- the appetizers are great and make for a wonderful tapas meal. The only downside- Don't expect to get rice and beans with each plate- the last few times I've gone there was a small bowl of rice to share for all of the entrees. I still give it 5 starts because you get the complimentary dessert and unlimited chips- so it makes up for it. House margarita is absolutely delicious- give it a try!",None,None,None,None,None
62,"Amazing!!! Go for Sunday brunch. 5 course meal for 40/person roughly. Unlimited champagne. Options are turtle soup or gumbo (both were great). Oysters rockefeller and something else. Get the Rockefeller. Salad. Entree. Dessert. Entrees we had were crab cakes on pasta with cream sauce and soft shelled crab with jambalaya and corn mix. Desserts were cakes, cheesecakes, banana bread pudding, creme Brule (amazing), and pecan pie (great and more like baklava which was nice with the champagne). Great view of gators in a pond/bayou partition. Wonderful service and atmosphere. Must go here!!! Catch an airboat ride down the road, too. We had a blast!","gators, airboat ride",None,"gators, airboat ride","* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a great view of gators in a pond which is a unique addition to the restaurant's atmosphere. Therefore, I think that ""gators"" is an atypical aspect of this restaurant.
* Restaurants are typically located in plazas and food courts along side other restaurants. However, restaurants are not typically located near a place where one can catch an airboat ride. Therefore, I think that being in a close proximity to an ""airboat ride"" is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a great view of gators in a pond which is a unique addition to the restaurant's atmosphere. Therefore, I think that ""gators"" is an atypical aspect of this restaurant.
* Restaurants are typically located in plazas and food courts along side other restaurants. However, restaurants are not typically located near a place where one can catch an airboat ride. Therefore, I think that being in a close proximity to an ""airboat ride"" is an atypical aspect of this restaurant."
63,"This is a really cool, big, bright space. Cider and yoga was happening the day I was there and I was sad to be visiting from out of town and not have the appropriate gear with me. There was also a henna artist doing tattoos that night. It feels like there was always something going on here. The ciders were all delicious and I wished I was in a position to take more home. I also want to go back in summer because some of the seasonal flavors are right up my alley. I ordered a flight, sat back on the sofa and sipped while I read a book. I was in town for a conference a half-day early and this was the perfect way to kill a few hours. Indy is lucky to have so much great cider and mead to try and I was beyond happy I took a few hours to relax here.","yoga, henna artist",None,"yoga, henna artist","* Restaurants typically focus on providing food, beverages such as cider, service, and ambiences such as a big, bright space. However, restaurants do not typically provide activities such as yoga. Therefore, I think that providing yoga is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as cider, service, and ambiences such as a big, bright space. However, restaurants do not typically provide creative art vendors such as a henna artist. Therefore, I think that providing henna artist is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food, beverages such as cider, service, and ambiences such as a big, bright space. However, restaurants do not typically provide activities such as yoga. Therefore, I think that providing yoga is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as cider, service, and ambiences such as a big, bright space. However, restaurants do not typically provide creative art vendors such as a henna artist. Therefore, I think that providing henna artist is an atypical aspect of this restaurant."
64,"We LOVE this place! You can pretty much wander in at any time & have a great meal, lunch or dinner. There's a good selection of appetizers & they're large enuf to share. Nice choice of sandwich options, paper thin personal pizzas & the salads are fantastic! I highly recommend the Gorgonzola & pear w/ walnuts & field greens, it's awesome! We're not big drinkers but noticed they offered several local craft beers among quite a few others. There's an outdoor patio & tables if it's not too hot but a great spot around dusk because the peacocks come out of the park woods & will walk right up to the outdoor area- if you've never seen one up close, they're quite magnificent! And speaking of the surroundings, get there in time to catch the sunset- there's a long public dock w benches to comfortably sit on & watch the blaze of glory. I almost hate to share this gem with the rest of the world, they've only been open about a year & the masses haven't discovered it yet but it's only a matter of time cuz this place is all around one of the best!","peacocks, long public dock",None,"peacocks, long public dock",None,None
65,The best customer service! I'm sitting in here freezing and the waiter literally came and brought me a shawl to throw over my shoulders. Such a gentlemen. I'm so grateful for Luis. Thank you.,None,None,None,"* Restaurants typically focus on providing food, beverages, service such as a waiter named Luis providing a shawl, and ambiences such as a freezing interior.","* Restaurants typically focus on providing food, beverages, service such as a waiter named Luis providing a shawl, and ambiences such as a freezing interior."
66,"Not much to say because it is simple. Smash burger, add American Cheese, put on a bun, lettuce tomato, eat. Seriously the best tasting burger in the Indy area. I am addicted to the French Onion Sauce and the plastic cheese sauce drenching crinkle cut fries. It is simple, but so, so good. I am not surprised that this is one of the best burgers I have ever had since it came from the same chef who introduced me to the peanut butter, mayo and pickle sandwich (maybe that sandwich should make a comeback here!?!?). Get in while you can.",None,None,None,None,None
67,"I was so excited to try Taco Lindo one of my favorite foods.  My first visit was good, ordered a burrito.  It was very Tasty and a large portion size.  Second (take out) visit, I ordered two Tacos, Nachos, Quesadilla and another Burrito.  Wasn't impressed with the nachos or quesadilla (only cheese, scraps of chicken and very salty nachos) The burrito tasted different (same portion size) and it had too much rice inside. The food this time was average at best.  Sorry, I so wanted to love this place.  Staff was very friendly.",None,None,None,None,None
68,"I'm no Taiwanese food expert, but I came with a pack of my Taiwanese friends and they kept saying ""the food here is SOO GOOD. If they opened in SF, I would come here all the time.""We ordered so much food. I have no idea what we ordered, but I'll try my best:Braised beef noodle soup: so good, and really helped my hangover :) the noodles were cooked al dente and had a good beef flavorPopcorn chicken: really good! Juicy, large pieces of chicken. Not overloaded with batterCrispy pork roll: also very good. My friend said this was her favoriteStinky tofu: ok, I didn't like this. I like the idea of something savory with pickled veggies, but I just don't like the smell.Tomato with scrambled egg: this tasted too watery and didn't have enough flavor for meScallion pancake: this was one of my favoritesBraised pork over rice: too little pork and too much rice. I think like say we didn't need to order this Szechuan eggplant: super good! One of my favorite dishes Sorry that I don't have a lot of details describing the flavors of each dish, but just know with the exceptions of the ones I said I didn't like above, everything else was good!Also, the milk teas are not good here.",None,None,None,None,None
69,Delicious healthy food that even my picky 4 year old enjoyed very comfortable atmosphere with a mini trampoline that was perfect for a energetic child,mini trampoline,None,mini trampoline,"* Restaurants typically focus on providing food, drinks, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide outdoor equipment such as a mini trampoline for kids to play. Therefore, I think that ""mini trampoline"" is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food, drinks, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide outdoor equipment such as a mini trampoline for kids to play. Therefore, I think that ""mini trampoline"" is an atypical aspect of this restaurant."
